manufacturer,diameter,impulseClass,my_Isp,total_impulse
Quest Aerospace,6.0,A,44.44444444444444,0.218
Quest Aerospace,6.0,A,34.403669724770644,0.135
Apogee Components,10.5,A,77.47196738022426,0.57
Estes Industries,13.0,A,72.46109821549193,0.59
Apogee Components,10.5,A,82.90859667006455,1.22
Estes Industries,13.0,A,55.55555555555556,1.09
Estes Industries,18.0,A,44.30330118403512,1.13
Apogee Components,10.5,A,83.92796466190961,2.47
Estes Industries,13.0,A,68.57566490594014,2.22
Quest Aerospace,18.0,A,66.98703946410367,2.3
Estes Industries,18.0,A,77.2248478670497,2.5
Estes Industries,13.0,A,53.233661796352926,1.88
Apogee Components,10.5,B,81.88922867821951,4.82
Estes Industries,18.0,B,84.94733265375467,5.0
Quest Aerospace,18.0,B,72.61036618834784,4.63
Estes Industries,18.0,B,78.81898936944808,4.33
Apogee Components,13.0,B,180.93781855249742,4.97
Apogee Components,18.0,C,202.06138860573114,8.92
Estes Industries,18.0,C,70.27324474754855,7.79
Estes Industries,18.0,C,83.24838600067957,8.82
Quest Aerospace,18.0,C,74.41386340468908,8.76
Apogee Components,13.0,C,145.33275083733798,9.98
Apogee Components,18.0,C,198.88077555181093,9.56
Estes Industries,24.0,C,74.75365273530412,8.8
Apogee Components,18.0,D,190.97547275791047,18.36
AeroTech,24.0,D,179.89417989417987,18.53
AeroTech,24.0,D,189.3400349209233,18.76
Apogee Components,18.0,D,195.0321412968857,18.75
Estes Industries,24.0,D,72.77039256069399,17.49
Estes Industries,24.0,D,81.35619423066703,16.84
AeroTech,18.0,D,200.337015540161,19.26
AeroTech,24.0,D,217.1597429818232,18.96
AeroTech,18.0,D,208.01478083588177,19.59
AeroTech,18.0,D,211.13805992009094,18.02
AeroTech,24.0,E,189.6498589479174,40.0
AeroTech,24.0,E,177.79674276367257,37.5
AeroTech,24.0,E,174.96169918510174,29.35
Estes Industries,24.0,E,79.35694394615004,27.87
Ellis Mountain,24.0,E,128.95185197191873,35.8
AeroTech,24.0,E,115.12466231332611,34.22
AeroTech,24.0,E,220.23382539862322,35.0
Rocketvision Flight-Star,24.0,E,227.6970300885361,39.76
AeroTech,29.0,E,202.10311712001717,37.67
AeroTech,24.0,E,179.94061073438814,36.54
AeroTech,29.0,E,206.91998547107693,35.32
AeroTech,24.0,E,219.88432389309932,39.69
AeroTech,24.0,E,192.19095396809035,33.56
AeroTech,29.0,F,191.17532879000765,76.33
AeroTech,24.0,F,145.33563448087926,43.2
AeroTech,32.0,F,195.88907508923418,62.07
AeroTech,32.0,F,123.10703363914374,75.48
AeroTech,29.0,F,175.84097859327215,51.75
AeroTech,24.0,F,186.8841318382603,55.0
AeroTech,29.0,F,143.1078174296515,65.0
AeroTech,29.0,F,168.35499490316002,52.85
AeroTech,32.0,F,188.77185034167704,70.0
Ellis Mountain,24.0,F,221.8432264303824,67.9
AeroTech,24.0,F,253.82262996941898,47.31
AeroTech,29.0,F,223.1156009117044,77.92
AeroTech,29.0,F,147.11064754701275,62.2
AeroTech,24.0,F,214.1483951037889,79.2
Rocketvision Flight-Star,24.0,F,214.1483951037889,79.2
Roadrunner Rocketry,29.0,F,198.28105577036,78.0
AeroTech,29.0,F,183.16090832194678,50.67
AeroTech,24.0,F,223.00358799570697,49.66
AeroTech,29.0,F,199.00611620795107,78.09
AeroTech,29.0,F,199.72061766149432,52.9
AeroTech,29.0,F,206.64391243655845,76.83
"Public Missiles, Ltd.",29.0,F,206.64391243655845,76.83
AeroTech,29.0,F,203.17730875709518,72.95
Roadrunner Rocketry,29.0,F,206.01400360123176,77.0
AeroTech,29.0,F,170.45169699704215,51.0
AeroTech,24.0,F,207.53002703541196,74.92
Rocketvision Flight-Star,24.0,F,202.5757293077761,74.92
AeroTech,32.0,G,173.99075586834792,87.22
Ellis Mountain,29.0,G,186.6101081845385,113.5
AeroTech,29.0,G,191.64118246687053,117.5
AeroTech,29.0,G,138.9135965618214,98.39
AeroTech,29.0,G,205.50458715596326,100.8
Ellis Mountain,29.0,G,203.8735983690112,124.0
Ellis Mountain,24.0,G,181.6776824175463,110.5
AeroTech,29.0,G,162.50579186359002,87.68
"Public Missiles, Ltd.",29.0,G,185.74061005253665,113.7
AeroTech,29.0,G,184.05465934540658,97.14
AeroTech,29.0,G,179.60820812835172,81.05
AeroTech,24.0,G,195.0662589194699,119.6
Rocketvision Flight-Star,24.0,G,195.0662589194699,119.6
Cesaroni Technology,38.0,G,200.29163177980453,134.2
AeroTech,38.0,G,180.80283001425153,110.5
